Monster,Source,# Enc.,Move,AC,HD,# Attacks,Attack Types,Damage,Save,Morale,XP,Notes
Symbiotic Jelly,FF,1(1),10'(3'),8(11),2,0,0,0,F2,12,38,Charm monster. Create illusion.
Tabaxi,FF,2d4(2d4),150'(50'),6(13),2,3,claws/bite,1d3/1d3/1d3,F2,7,38,May also use weapons. Camouflage. Move silently.
Taer,M2,1d20+10(1d20+10),180'(60'),4(15),3+6,3,kick/fist/bite,1d4/1d4/1d6,F3,8,135,"50% use spears +1 to hit +3Dam. Odor, nausea 10'R (SNeg)."
Temebrous Worm,M2,1(1),10'(3'),1(18),10,1,bite,2d10,F10,9,"2,400","Acid, bite does 2xDam (S-3Neg). Bristles 1d4Dam+paralysis (SNeg)."
Tentamort,FF,1d10(1d10),10'(3'),3(16),8,2,tentacles,1d6/1d6,F4,12,245,"Tentacles2HD, Body4HD. 1tentacle constricts, the other paralyzes (SNeg)."
Thessalhydra,M2,1(1),120'(40'),0(19),12,10,bites/tail,1d6x8/1d20/1d12,F12,10,"3,600",All bites do 2xDam from acid (SNeg). Spit acid R30' 12d6Dam.
Throat Leech,FF,1d6(1d6),10'(3'),9(10),1hp,1,bite,1d3,F0,12,7,Ongoing blood drain 1d3Dam. 50% chance of choking 1d4Dam.
Throghrin,L1,1d6(1d10),120'(40'),6(13),3,2or1,claws/weapon,1d3/1d3/weapon,F3,10,80,Claws paralyze 2d4turns (SNeg). Regenerates 1hp/rd.
Thunder Beast4+4HD,M2,5d4(5d4),90'(30'),4(15),4+4,1,bite,2d6,F4,9,290,Trample from 20'+ at 2x speed 4d4Dam. Fog cloud.
Thunder Beast5+5HD,M2,5d4(5d4),90'(30'),4(15),5+5,1,bite,2d6,F5,9,660,Trample from 20'+ at 2x speed 5d4Dam. Fog cloud.
Thunder Beast6+6HD,M2,5d4(5d4),90'(30'),4(15),6+6,1,bite,2d6,F6,9,980,Trample from 20'+ at 2x speed 6d4Dam. Fog cloud.
Thunder Beast7+7HD,M2,5d4(5d4),90'(30'),4(15),7+7,1,bite,2d6,F7,9,"1,300",Trample from 20'+ at 2x speed 7d4Dam. Fog cloud.
Thunder Beast8+8HD,M2,5d4(5d4),90'(30'),4(15),8+8,1,bite,2d6,F8,9,"1,820",Trample from 20'+ at 2x speed 8d4Dam. Fog cloud.
Thunder Beast9+9HD,M2,5d4(5d4),90'(30'),4(15),9+9,1,bite,2d6,F9,9,"2,400",Trample from 20'+ at 2x speed 9d4Dam. Fog cloud.
"Tick, Giant2HD",L2,3d4(3d4),30'(10'),3(16),2,1,bite,1d4,F2,8,29,Ongoing blood drain 1d6Dam/rd.
"Tick, Giant3HD",L2,3d4(3d4),30'(10'),3(16),3,1,bite,1d4,F3,8,65,Ongoing blood drain 1d6Dam/rd.
"Tick, Giant4HD",L2,3d4(3d4),30'(10'),3(16),4,1,bite,1d4,F4,8,135,Ongoing blood drain 1d6Dam/rd.
Titan17HD,L2,1d2(1d2),210'(70'),2(17),17,1,fist,7d6,F17,10,"4,250","Spell-like abilities: invisibility, levitate, ethereal. Spellcasting."
Titan18HD,L2,1d2(1d2),210'(70'),1(18),18,1,fist,7d6,F18,10,"4,250","Spell-like abilities: invisibility, levitate, ethereal. Spellcasting."
Titan19HD,L2,1d2(1d2),210'(70'),0(19),19,1,fist,7d6,F19,10,"4,250","Spell-like abilities: invisibility, levitate, ethereal. Spellcasting."
Titan20HD,L2,1d2(1d2),210'(70'),-1(20),20,1,fist,7d6,F20,10,"4,250","Spell-like abilities: invisibility, levitate, ethereal. Spellcasting."
Titan21HD,L2,1d2(1d2),150'(50'),-2(21),21,1,fist,8d6,F21,10,"7,000","Spell-like abilities: invisibility, levitate, ethereal. Spellcasting."
Titan22HD,L2,1d2(1d2),150'(50'),-3(22),22,1,fist,8d6,F22,10,"7,000","Spell-like abilities: invisibility, levitate, ethereal. Spellcasting."
Titanothere,L1,0(1d6),120'(40'),5(14),12,1,butt/trample,2d6/2d8,F6,7,"2,000",2xDam if charging.
"Toad, Giant",L1,1d4(1d4),90'(30'),7(12),2+2,1,bite,1d4+1,F1,6,71,Surprises on 1-3. Tongue R15' grabs ≤   dwarf-sized victims for bite.
"Toad, Giant Ice",L2,1d4(1d4),90'(30'),4(15),5,1,bite,3d4,F5,7,500,Tongue R20' grabs ≤   human-sized victims for bite. Icy blast 10'R 3d6Dam.
"Toad, Giant Poisonous",L2,1d4(1d4),90'(30'),7(12),2+2,1,bite,1d4+1+poison,F1,6,83,As regular giant toad + poison bite (SorD).
Transposer,M2,1(1),150'(50'),7(12),6,2,suckers,1d6/1d6,F6,8,820,After a hit any damage the victim deals adds to the transposer's hp.
Trapper,L2,1(1),30'(10'),3(16),12,4,crushes,1d6each,F12,10,"2,000",95% undetectable. Ongoing crushing Dam. Immune to heat/cold.
Treant,L1,0(1d8),60'(20'),2(17),8,2,branches,2d6/2d6,F8,6,"1,560",Surprises on 1-3. Animate 1 or 2 trees R60'.
Tri-Flower Frond,M2,1d10(1d10),0'(0'),9(10),2+8,3,flowers,Special,F2,12,71,Each flower has a different incapacitating attack/effect.
Triton,L2,3d4(2d6x10),S150'(50'),5(14),3,1,weapon,Weapon,F3,7,50,90% will be riding underwater mounts.
Troglodyte,L1,1d8(5d8),120'(40'),5(14),2,3,claws/bite,1d4/1d4/1d4,F2,9,38,Surprises on 1-4. Smell gives -2 to hit penalty (SNeg).
Troll,L1,1d8(1d8),120'(40'),4(15),6+3,3,claws/bite,1d6/1d6/1d10,F6,10,980,After 3rds regenerates 3hp/rd. Only killed by fire or acid.
"Troll, Giant 2-Headed",FF,1d3(1d3),120'(40'),4(15),10,4,claws/bites,1d6/1d6/1d10/1d10,F10,10,"2,400",Surprised on 1. After 3rds regenerates 3hp/rd.
"Troll, Ice",FF,1d6(1d6),90'(30'),8(11),2,2,claws,1d8/1d8,F2,9,47,Magic weapons to hit. Regenerates 2hp/rd. Fire does 2xDam.
Tunnel Worm,M2,1d6(1d6),60'(20'),4(15),9+3,1,bite,2d8,F9,7,"1,700",first attack is at +2 to hit.
"Turtle, Giant Sea",L2,1d3(1d3),S150'(50'),2(17),15,1,bite,4d4,F15,6,"1,500",Head and flippers AC5. May capsize boats.
"Turtle, Giant Snapping",L2,1d4(1d4),S120'(40'),0(19),10,1,bite,6d4,F10,9,"1,700","Surprises on 1-4. 10' long neck. head, neck and flippers AC5."
Unicorn,L1,1d6(1d8),240'(80'),2(17),4,3,hooves/horn,1d8/1d8/1d8,F8,7,135,Teleport ability 1/day.
Vampire7HD,L1,1d4(1d6),F180'(60'),2(17),7,1,fist,1d10+energy drain,F7,11,"3,150",Touch drains 2 levels. Regenerates 3hp/rd. Gaseous form.
Vampire8HD,L1,1d4(1d6),F180'(60'),2(17),8,1,fist,1d10+energy drain,F8,11,"5,060",Touch drains 2 levels. Regenerates 3hp/rd. Gaseous form.
Vampire9HD,L1,1d4(1d6),F180'(60'),2(17),9,1,fist,1d10+energy drain,F9,11,"7,300",Touch drains 2 levels. Regenerates 3hp/rd. Gaseous form.
Vapor Rat,M2,2d8(2d8),120'(40'),6(13),2,1,bite,1d2,F2,6,38,May assume gaseous form. Stinking cloud 8'R as it dies.
Vegypygmy1HD,M2,30d10(30d10),120'(40'),4(15),1,1,fist/weapon,1d6/weapon,F1,7,19,Piercing weapons 1Dam only. Camouflage. Immune to charm.
Vegypygmy2HD,M2,30d10(30d10),120'(40'),4(15),2,1,fist/weapon,1d6/weapon,F2,7,47,Piercing weapons 1Dam only. Camouflage. Immune to charm.
Vegypygmy3HD,M2,30d10(30d10),120'(40'),4(15),3,1,fist/weapon,1d6/weapon,F3,7,95,Piercing weapons 1Dam only. Camouflage. Immune to charm.
Vegypygmy4HD,M2,30d10(30d10),120'(40'),4(15),4,1,fist/weapon,1d6/weapon,F4,7,245,Piercing weapons 1Dam only. Camouflage. Immune to charm.
Vegypygmy5HD,M2,30d10(30d10),120'(40'),4(15),5,1,fist/weapon,1d6/weapon,F5,7,650,Piercing weapons 1Dam only. Camouflage. Immune to charm.
Vegypygmy6HD,M2,30d10(30d10),120'(40'),4(15),6,1,fist/weapon,1d6/weapon,F6,7,"1,070",Piercing weapons 1Dam only. Camouflage. Immune to charm.
Vegypygmy Dog(Thorny),M2,2d6(3d6),150'(50'),3(16),4,1,bite,1d4+1,F4,8,135,In close combat they deal +3d4 ripping damage on a hit.
Vilstrak,M2,2d10(2d10),90'(30'),2(17),1d6,2,fists,1d4+1/1d4+1,F0,8,6,"May merge with stone, 75% undetectable."
Volt,FF,2d12(2d12),F60'(20'),3(16),2+1,1plus1,1+1 bite/jolt,1d4/2d6,F2,8,47,A bite hit leads to ongoing jolts 2d6Dam/rd.
Vulching,M2,2d8(2d8),60'(20'),7(12),1,1or2,1/2 bite/claws,1d4+1/1d4/1d4,F1,7,10,"1st attack with talons only, subsequent attacks are bite only."
Vulture,M2,4d6(4d6),270'(90'),6(13),1+1,1,bite,1d2,F1,6,15,Ground movement 30'(10').
"Vulture, Giant",M2,2d6(2d6),240'(80'),7(12),2+1,1,bite,1d4,F2,7,35,Ground movement 30'(10').
"Wasp, Giant",L2,1d20(1d20+20),F210'(70'),4(15),4,2,bite/sting,2d4/1d4+poison,F4,10,135,Poison sting paralyzes permanently (SNeg).
"Weasel, Giant",L1,1d4(1d6),150'(50'),7(12),4+4,1,bite,2d4,F3,8,290,Ongoing blood drain 2d4Dam/rd.
"Whale, Killer",L1,0(1d6),S240'(80'),6(13),6,1,bite,1d20,F3,10,570,On a 20 creatures ≤   halfling-size are swallowed whole 1d6Dam/rd.
"Whale, Narwhal",L1,0(1d4),S180'(60'),7(12),12,2,bite/horn,2d6/1d8,F12,8,"1,200","Horn value 1d6x1,000gp."
"Whale, Sperm",L1,0(1d3),S180'(60'),6(13),36,1,bite,3d20,F15,7,"12,500",Swallows prey whole on a to hit roll 4+ more than required.
Wight,L1,1d6(1d8),90'(30'),5(14),3,1,touch,Energy drain,F3,12,110,Touch drains 1 level. Immune to sleep and charm.
Will-O-Wisp,L2,1(1d3),F180'(60'),-8(27),9,1,shock,2d8,F9,7,"3,100",Invisibility. Immune to most spells.
Wind Walker,L2,1d3(1d3),F300'(100'),7(12),6+3,1,slam,3d6,F6,9,680,Only harmed by ethereal attacks Ground movement 150'(50').
Witherstench,FF,3d4(3d4),60'(20'),7(12),2+2,2,claws,1d6/1d6,F2,7,47,Odour 30'R causes crippling nausea (SNeg).
Witherweed3HD,FF,1(1),0'(0'),8(11),3,Varies,Varies,Special,F3,12,80,"13-24 fronds, hits drain 1d4DEX (S½). Incapacitates at 3DEX, kills at 0."
Witherweed4HD,FF,1(1),0'(0'),8(11),4,Varies,Varies,Special,F4,12,190,"13-24 fronds, hits drain 1d4DEX (S½). Incapacitates at 3DEX, kills at 0."
Witherweed5HD,FF,1(1),0'(0'),8(11),5,Varies,Varies,Special,F5,12,500,"13-24 fronds, hits drain 1d4DEX (S½). Incapacitates at 3DEX, kills at 0."
Witherweed6HD,FF,1(1),0'(0'),8(11),6,Varies,Varies,Special,F6,12,820,"13-24 fronds, hits drain 1d4DEX (S½). Incapacitates at 3DEX, kills at 0."
Wolf,L1,2d6(3d6),180'(60'),7(12),2+2,1,bite,1d6,F1,8,35,Morale 6 if ≤3 encountered or 50%+ of total are slain.
"Wolf, Dire",L1,1d4(2d4),150'(50'),6(13),4+1,1,bite,2d4,F2,8,140,
"Wolf, Winter",L2,2d4(2d4),180'(60'),5(14),6,1,bite,2d4,F6,10,820,Frost breath R10' 6d4Dam (S½). Immune to cold.
Wolf-in-Sheep's-Clothing,M2,1(1),10'(3'),3(16),9,1to3,tentacles,1d4each,F9,12,"1,700",Tentacles drag victims to mouth for 1d6+6Dam bite.
Wolverine,L2,1(1d3),120'(40'),5(14),3,3,claws/bite,1d4/1d4/1d4+1,F3,10,80,+4 to hit. Musk R40'x15' blinds for 1d8hours (SNeg).
"Wolverine, Giant",L2,1(1d3),150'(50'),4(15),4+4,3,claws/bite,1d4+1/1d4+1/2d4,F4,11,290,+4 to hit. Musk R60'x20' blinds for 1d8hours (SNeg).
Wraith,L1,1d4(1d6),F240'(80'),3(16),4,1,touch,1d6+energy drain,F4,12,300,Touch drains 1 level. Victim dies at 0 and becomes a wraith.
Wyvern,L1,1d2(1d6),F240'(80'),3(16),7,2,bite/sting,2d8/2d8+poison,F4,9,"1,140",Poison sting (SorD). Ground movement 90'(30').
Xorn,L2,1d4(1d4),90'(30'),-2(21),7+7,4,claws/bite,1d3/1d3/1d3/6d4,F7,10,"1,700",Surprises on 1-3. Immune to heat/cold and 50% electricity.
Yellow Mold,L1,1d4(1d8),0'(0'),NA,2,1,spores,1d6+poison,F2,NA,38,Spores 10'cubed (SorD in 6rds). Only harmed by fire.
Yellow Musk Creeper,FF,1(1),0'(0'),7(12),3,2to12,dust puffs,Trance,F3,12,65,Victims hit by dust walk into plant -1d4INT/rd (SNeg).
Yellow Musk Zombie,FF,1d2(1d2),120'(60'),8(11),2,1,weapon,Weapon,F2,12,29,Victims of a yellow musk creeper that have been drained to 1or2INT.
Yeti,L2,1d6(2d4),150'(50'),6(13),4+4,2,claws,1d6/1d6,F4,8,365,A to hit roll of 20 does +2d8Dam. Gaze paralyzes 3rds (SNeg).
"Yuan Ti, Pureblood",M2,1d4(1d4),120'(40'),4(15),6,1,weapon,Weapon,F6,8,570,1 minor reptilian feature. Spellcasting.
"Yuan Ti, Halfbreed7HD",M2,1d4(1d4),120'(40'),4(15),7,2,bite/weapon,1d10/weapon,F7,9,440,Snake head AC0. No spellcasting.
"Yuan Ti, Halfbreed7HD",M2,1d4(1d4),120'(40'),4(15),7,1,weapon,Weapon,F7,9,790,1 reptilian feature. Human head allows spellcasting.
"Yuan Ti, Halfbreed8HD",M2,1d4(1d4),120'(40'),4(15),8,2,bite/weapon,1d10/weapon,F8,9,560,Snake head AC0. No spellcasting.
"Yuan Ti, Halfbreed8HD",M2,1d4(1d4),120'(40'),4(15),8,1,weapon,Weapon,F8,9,"1,060",1 reptilian feature. Human head allows spellcasting.
"Yuan Ti, Abomination",M2,1d4(1d4),90'(30'),0(19),9,2,bite/constrict,1d10/1d4,F9,10,"1,000",Mostly snake features including head AC0. No spellcasting.
"Yuan Ti, Abomination",M2,1d4(1d4),90'(30'),0(19),9,1,constrict,1d4,F9,10,"1,700",Mostly snake features but a human head allows spellcasting.
Zombie,L1,2d4(4d6),60'(20'),8(11),2,1,weapon,1d8/weapon,F1,12,29,Always attacks last. Immune to charm and sleep.
"Zombie, Juju",M2,1d4(1d4),90'(30'),6(13),3+12,1,fist,3d4,F3,12,205,+1 weapons to hit. Attack as 6HD. Piercing and blunt weapons 1Dam only.
